rank,title,genre,platforms,release_date,developer,publisher,description
195,Heroes of Might and Magic II: The Succession Wars,RTS,"['PC', 'Mac']",1996-10-01,New World Computing,The 3DO Company,"Heroes of Might and Magic II: The Succession Wars is a turn-based strategy game in which players build towns, recruit armies, gather resources, and explore a fantasy world map while commanding heroes in tactical battles. Set in the aftermath of a royal succession crisis, the game lets players choose between rival factions and vie for control of the kingdom through conquest, diplomacy, and strategic expansion. It expanded on the original with improved graphics, new creatures, more spells, and deeper campaign play, becoming one of the best-known entries in the series."
196,Heart of Darkness,Adventure,"['PlayStation', 'PC']",1998-07-31,Amazing Studio,Sierra On-Line,"Heart of Darkness is a cinematic 2D platform adventure game in which players control Andy, a young boy who ventures through dangerous, surreal worlds to rescue his dog, Whisky, from a shadowy force known as the Darkness. The game is known for its hand-drawn animation, atmospheric visuals, and puzzle-focused gameplay mixed with light action and exploration. Players must navigate hostile environments, avoid deadly traps, and use a variety of tools and abilities to overcome enemies and obstacles across an eerie fantasy setting."
197,Paper Mario,RPG,['Nintendo 64'],2000-08-11,Intelligent Systems,Nintendo,"Paper Mario is a turn-based role-playing game set in the Mario universe, featuring a charming papercraft visual style. Players control Mario as he journeys across the Mushroom Kingdom to rescue Princess Peach and recover the seven Star Spirits after Bowser steals the Star Rod and takes over Star Haven. The game blends traditional RPG combat with timing-based action commands, exploration, puzzle solving, and light platforming elements. Its accessible mechanics, humorous writing, and memorable partners helped establish Paper Mario as a standout entry in the Mario franchise and a foundational title for the series."
198,Diablo II,RPG,"['PC', 'Mac']",2000-06-29,Blizzard North,Blizzard Entertainment,"Diablo II is an action role-playing game set in a dark fantasy world where players choose one of five character classes and battle through randomized dungeons, wilderness areas, and towns to stop the demonic Wanderer and the Prime Evils. The game emphasizes fast-paced combat, loot hunting, character customization through skill trees, and replayability across four acts. Its expansion, Lord of Destruction, added two new classes, new items, and an additional act, further expanding the game's depth and longevity."
199,Conker's Bad Fur Day,Action,['Nintendo 64'],2001-03-05,Rare,Rare,"Conker's Bad Fur Day is a third-person action-platformer developed and published by Rare for the Nintendo 64. It follows Conker, a foul-mouthed red squirrel who stumbles through a bizarre, heavily parodied world after a night of drinking and partying leaves him trying to get home. The game is known for its adult humor, cinematic presentation, varied gameplay, and deliberate subversion of family-friendly platform game conventions. Players progress through a series of levels that mix platforming, shooting, puzzle-solving, and set-piece challenges, often featuring references to movies, television, and other games. Initially conceived as a more traditional title, it was redesigned into a mature comedy after development shifted direction late in production. Despite limited commercial success at launch, it became a cult classic and is widely remembered as one of the Nintendo 64's most distinctive games."
200,Dungeon Keeper 2,RTS,['PC'],1999-06-30,Bullfrog Productions,Electronic Arts,"Dungeon Keeper 2 is a real-time strategy game that puts you in the role of a dungeon overlord. Instead of commanding noble heroes, you build and manage a subterranean lair, dig out rooms, train monstrous minions, and defend your dungeon from invading forces. The game combines strategy, resource management, trap placement, and direct possession of creatures for hands-on combat. It features a darkly humorous tone, stylized fantasy presentation, and a campaign focused on conquering enemy realms while protecting your own."
201,Age of Wonders,RTS,['PC'],1999-10-26,Triumph Studios,Gathering of Developers,"Age of Wonders is a turn-based strategy game that blends empire building, tactical combat, and fantasy role-playing elements. Players lead one of several races and hero units across a magical world, managing cities, researching spells, and expanding territory while engaging in grid-based battles. The game is known for its deep strategic systems, rich fantasy setting, and the ability to conquer or diplomatically influence rival factions."
202,Age of Mythology,RTS,['PC'],2002-10-30,Ensemble Studios,Microsoft Game Studios,"Age of Mythology is a real-time strategy game set in a mythological version of the ancient world. Players choose from one of several civilizations inspired by Greek, Egyptian, and Norse cultures, build cities, gather resources, train armies, and invoke gods and mythological creatures to gain strategic advantages. The game combines classic RTS mechanics with divine powers, hero units, and fantastical units such as minotaurs, cyclopes, and mummies. Its campaign follows the hero Arkantos as he journeys across legendary lands and battles both mortal enemies and mythic threats. Known for its strong single-player story, varied factions, and competitive multiplayer, Age of Mythology became a celebrated spin-off of the Age of Empires series."
203,Metroid Fusion,Action,"['Game Boy Advance', 'Nintendo Switch']",2002-11-18,Nintendo R&D1,Nintendo,"Metroid Fusion is a side-scrolling action-adventure game in which Samus Aran investigates a dangerous parasite outbreak on the research station SR388 after a mission gone wrong. Infected by the X parasite and saved by a Metroid vaccine, Samus must navigate the station, fight mutated creatures, and evade the hostile SA-X, a powerful doppelganger created from her own DNA. The game features exploration, ability-based progression, atmospheric storytelling, and a more guided structure than earlier Metroid titles."
204,Might and Magic VI: The Mandate of Heaven,RPG,['PC'],1998-04-30,New World Computing,3DO,"Might and Magic VI: The Mandate of Heaven is a first-person party-based role-playing game set in the fantasy world of Enroth. Players create and guide a party of four adventurers, exploring a large open world, completing quests, battling monsters in real time, and developing their characters through classes, skills, and spells. The game blends dungeon crawling, city exploration, and outdoor travel with a strong emphasis on freedom and non-linear progression. It is known for its expansive world, classic RPG systems, and connection to the broader Might and Magic series, serving as a direct sequel to Might and Magic V."
205,Master of Orion II: Battle at Antares,RTS,['PC'],1996-02-25,Simtex,MicroProse,"Master of Orion II: Battle at Antares is a classic 4X strategy game set in a science-fiction galaxy where players lead one of many alien civilizations to explore star systems, colonize planets, research technologies, conduct diplomacy, and wage interstellar war. As the sequel to Master of Orion, it expands the original formula with deeper empire management, custom species creation, richer diplomacy, espionage, and tactical ship combat. Players can pursue victory through conquest, population growth, technological superiority, or the Galactic Council. Widely regarded as one of the greatest strategy games ever made, it is known for its depth, replayability, and memorable alien races."
206,Vagrant Story,RPG,['PlayStation'],2000-02-10,Square,Square,"Vagrant Story is an action role-playing game set in the dark fantasy world of Ivalice. Players control Ashley Riot, an elite Riskbreaker investigating a cult conspiracy in the ruined city of Leá Monde. The game is known for its weapon customization, real-time combat with tactical targeting, and deep crafting and affinity systems. It features a mature storyline, atmospheric presentation, and distinctive art direction directed by Yasumi Matsuno and produced by Square for the original PlayStation."
